,l,ls,epi,smt,para,i
294,0.4152608714507197,0.0001993355383991782,12,7,7,17
295,0.4079071797172801,0.0001385340991280463,12,8,8,18
296,0.4037291261768365,0.00022188244657155278,12,9,9,19
297,0.43769636780800497,0.00025201711729116316,12,10,1,21
298,0.4146665734140891,0.00011154400243164043,12,11,2,22
299,0.4177782182369209,0.0003139551388583481,12,12,3,23
300,0.4061151071010144,0.0002927205878397524,12,13,4,24
301,0.4020957703133193,0.00012569067655556496,12,14,5,25
302,0.4045486332179124,0.0002622583273543301,12,15,6,26
303,0.39788433350995583,0.00018783355249980344,12,16,7,27
304,0.4084541728784653,0.00027158468651917057,12,17,8,28
305,0.4380840767638772,0.00027668005391269214,12,18,1,31
306,0.4131348236194051,9.998265411921252e-05,12,19,2,32
307,0.4031118847882033,0.00022771230571595226,12,20,3,33
308,0.4096082522218869,0.00016005624901221528,12,21,4,34
309,0.4070521354644875,0.0002840295230403959,12,22,5,35
310,0.4047458806250864,0.00021990790519503984,12,23,6,36
311,0.4013517911843256,0.00012651189582848376,12,24,7,37
312,0.4510400086398391,0.00013049493873970358,13,1,1,11
313,0.43359672670570815,0.00017968668659680017,13,2,2,12
314,0.4201423451043143,0.0001473563302729192,13,3,3,13
315,0.41064190443776616,0.0002437414383444189,13,4,4,14
316,0.4032214062478929,0.0005442055555202041,13,5,5,15
317,0.419430155000688,0.00019246057898251686,13,6,6,16
318,0.4072232615684501,0.00010720025634823773,13,7,7,17
319,0.4011620335565054,0.00029969570610201865,13,8,8,18
320,0.4055522038292149,0.0005014545140810499,13,9,9,19
321,0.4390079040407363,0.0001806014957320816,13,10,1,21
322,0.4138701636517677,0.0002532378963331665,13,11,2,22
323,0.42369172905759295,0.00015593537225089732,13,12,3,23
324,0.4092583041003449,0.00028381911717782705,13,13,4,24
325,0.39878054795536383,0.0002493471637043382,13,14,5,25
326,0.3967620844985217,0.00028131730066376483,13,15,6,26
327,0.4048690897281694,0.00035157022211371587,13,16,7,27
328,0.4001075347787468,0.0003769199335897698,13,17,8,28
329,0.44352532657275295,0.0001702096857335117,13,18,1,31
330,0.41392474459561424,0.0002316271427947749,13,19,2,32
331,0.4099152687907285,0.00018534725106883704,13,20,3,33
332,0.4030099910978805,0.0002741419941919758,13,21,4,34
333,0.4011918795557881,0.0001750909328698821,13,22,5,35
334,0.3970046537505445,0.0002279849248793669,13,23,6,36
335,0.4013329406677415,0.00022365928789933983,13,24,7,37
336,0.4426341484199413,0.0002663686710380457,14,1,1,11
337,0.4197547219471207,0.0002775429645018387,14,2,2,12
338,0.4195838254446075,0.0003247925337910668,14,3,3,13
339,0.4165991162063905,9.340957349813364e-05,14,4,4,14
340,0.4078906777948498,0.00033188765531857675,14,5,5,15
341,0.4083622141393827,0.00033004371150978764,14,6,6,16
342,0.4039785733063948,0.00017540093540876779,14,7,7,17
343,0.4088086950213135,0.00021707440902673893,14,8,8,18
344,0.39752915645854575,0.0002174788457899577,14,9,9,19
345,0.4288954840929712,0.0002800170756668162,14,10,1,21
346,0.410473584314896,0.00015680364643918683,14,11,2,22
347,0.4148822482263944,0.00015604909080882664,14,12,3,23
348,0.4036076612469353,0.00021851869159973227,14,13,4,24
349,0.4013841408196281,0.0001764456526946671,14,14,5,25
350,0.4035648020312524,0.00016394546714999268,14,15,6,26
351,0.40342604292424783,0.00025560779697371747,14,16,7,27
352,0.3988895813327984,0.00021172989068647763,14,17,8,28
353,0.4323301197298231,0.00014118516451456798,14,18,1,31
354,0.4179963342162953,0.00022616014290001757,14,19,2,32
355,0.4110699030173927,0.0001906079379251051,14,20,3,33
356,0.3973193570548201,0.00034683648775459355,14,21,4,34
357,0.4003725515610231,0.00019024640376373648,14,22,5,35
358,0.4021119872500044,0.0003769754890631435,14,23,6,36
